real \ predito,Insufficient_Weight,Normal_Weight,Obesity_Type_I,Obesity_Type_II,Obesity_Type_III,Overweight_Level_I,Overweight_Level_II
Insufficient_Weight,47,7,0,0,0,0,0
Normal_Weight,1,48,0,0,0,9,0
Obesity_Type_I,0,1,66,1,0,0,2
Obesity_Type_II,0,0,2,58,0,0,0
Obesity_Type_III,0,0,0,1,64,0,0
Overweight_Level_I,0,6,0,0,0,49,3
Overweight_Level_II,0,0,2,0,0,2,54
