feature,importancia
Weight,0.47410402839515176
Height,0.21629872588224547
Gender,0.1579288190004728
Age,0.04282459521066437
CALC,0.02287867489710475
FAVC,0.021762539824257927
FCVC,0.014855233905823741
TUE,0.013371214422385756
CAEC,0.012456103354527676
NCP,0.009160008133257437
MTRANS,0.003938849502937662
CH2O,0.0034981380672336262
family_history_with_overweight,0.0027858798139837027
FAF,0.0022741105278671725
SMOKE,0.0018630790620861339
SCC,0.0
